path,level,mode,tag,samples,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,max_ms,qps,total,ok,errors,rate_limited,timeouts,error_rate,success_rate,timeout_rate,rate_limited_rate,elapsed_s
auth,100,real,real_20260828,599,1793.5,2027.67,2101.67,2458.92,1792.07,2565.5,52.78,599,599,0,0,0,0.0,1.0,0.0,0.0,11.349
timeline,100,real,real_20260828,65,1230.22,1663.02,1731.47,1810.38,1198.68,1810.38,19.36,599,65,0,0,534,0.0,0.108514,0.891486,0.0,30.942
search,100,real,real_20260828,0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,599,0,0,0,599,0.0,0.0,1.0,0.0,32.556
image,100,real,real_20260828,0,0.0,0.0,0.0,0.0,0.0,0.0,16.81,599,0,0,0,599,0.0,0.0,1.0,0.0,35.63
