ts,cpu_pct,rss_mb
20:44:39,0.0,1189.7
20:44:41,1.9,1194.0
20:44:43,7.4,1202.4
20:44:45,7.1,1206.1
20:44:47,7.1,1210.2
20:44:49,6.7,1212.1
20:44:51,7.3,1213.8
20:44:53,5.7,1218.4
20:44:55,3.0,1226.4
20:44:57,0.0,1226.4
20:44:59,2.4,1294.6
20:45:01,3.2,1433.9
20:45:03,3.2,1494.4
20:45:05,0.2,1497.2
20:45:07,0.0,1497.2
20:45:09,1.0,1507.5
20:45:11,0.1,1507.6
20:45:13,0.2,1512.0
20:45:15,0.3,1495.8
20:45:17,0.0,1495.8
20:45:19,0.4,1499.9
20:45:21,0.1,1499.9
20:45:23,0.0,1499.9
20:45:25,4.4,1506.4
20:45:27,6.1,1506.4
20:45:29,2.8,1507.5
20:45:31,0.0,1507.5
20:45:33,0.0,1507.5
20:45:35,0.1,1507.5
20:45:37,0.1,1507.5
20:45:39,0.1,1507.6
20:45:41,0.0,1507.6
20:45:43,0.0,1507.6
20:45:45,0.0,1507.6
20:45:47,0.0,1507.6
20:45:49,0.0,1507.7
20:45:51,0.0,1507.7
20:45:53,0.0,1507.7
20:45:55,0.9,1506.3
20:45:57,0.0,1506.3
20:45:59,3.5,1506.9
20:46:01,5.4,1507.0
20:46:03,3.2,1507.0
20:46:05,0.0,1507.0
20:46:07,0.0,1507.0
20:46:09,0.0,1507.0
20:46:11,0.0,1157.2
20:46:13,0.0,1093.2
20:46:15,0.8,751.4
20:46:17,0.0,263.3
20:46:19,0.5,266.5
20:46:21,0.4,272.7
20:46:23,0.0,272.7
20:46:25,1.1,281.9
20:46:27,0.1,281.9
20:46:29,2.6,283.0
20:46:31,3.5,284.4
20:46:33,5.0,284.7
20:46:35,4.8,318.4
20:46:37,2.3,431.0
20:46:39,3.9,521.8
20:46:41,2.4,525.4
20:46:43,0.0,525.4
20:46:45,0.1,525.4
20:46:47,0.1,525.5
20:46:49,0.1,525.5
20:46:51,0.0,525.7
20:46:53,0.1,525.7
20:46:55,0.9,525.3
20:46:57,0.1,525.3
20:46:59,2.7,525.6
20:47:01,3.2,526.0
20:47:03,4.0,526.5
20:47:05,4.5,526.5
20:47:07,3.5,526.9
20:47:09,2.5,508.7
20:47:11,0.0,508.7
20:47:13,0.0,508.7
20:47:15,1.1,521.1
20:47:17,0.0,521.1
20:47:19,0.4,524.4
20:47:21,1.0,533.7
20:47:23,0.1,533.7
20:47:25,1.7,537.7
20:47:27,0.5,545.2
20:47:29,2.6,546.4
20:47:31,4.4,548.2
20:47:33,5.8,551.5
20:47:35,0.9,558.2
